Cuadro AIII. Distribución del consumo ocasional de cigarros,,,,,,,,,,,
Año,Grupo,<5 cigarros,,5 a 9 cigarros,,10 a 14 cigarros,,15 a 24 cigarros,,≥25,
,sociodemográfico,%,IC95%,%,IC95%,%,IC95%,%,IC95%,%,IC95%
2009,Total,54.4,"49.8, 58.9",22.5,"18.9, 26",8.9,"6.7, 11.1",11.2,"7.9, 14.4",3.1,"2.1, 4.2"
2015,Total,58.4,"54.4, 62.4",21.1,"17.7, 24.5",10.1,"7.5, 12.8",7.3,"5, 9.6",3.1,"1.7, 4.4"
2016,Total,51.7,"49.2, 54.2",21.2,"19.3, 23.2",12.4,"10.8, 14",7.4,"6.1, 8.6",7.3,"6.2, 8.4"
2023,Total,69.5,"64.7, 74.4",15,"11.3, 18.6",7.2,"3, 11.4",6.4,"4, 8.9",1.9,"0.7, 3.1"
2025,Total,16.9,"14, 19.7",33.6,"28.8, 38.5",22,"17.8, 26.1",11.3,"8, 14.6",16.2,"12.6, 19.7"
2009,Hombre,52.1,"47.3, 56.9",23.4,"19.5, 27.4",9.1,"6.8, 11.5",12.3,"8.7, 15.8",3.1,"2, 4.3"
2015,Hombre,55.8,"51.1, 60.6",21.6,"17.4, 25.7",10.4,"7.3, 13.5",8.8,"5.7, 11.8",3.5,"1.8, 5.1"
2016,Hombre,50.5,"47.5, 53.5",21.5,"19.3, 23.7",12.1,"10.2, 14",7.6,"6.1, 9.1",8.3,"6.9, 9.7"
2023,Hombre,69.1,"63.7, 74.5",15.2,"11, 19.3",7.4,"3.4, 11.4",6.2,"3.3, 9.2",2.1,"0.6, 3.6"
2025,Hombre,14.5,"11.1, 17.9",35.6,"30, 41.2",19.8,"15.6, 23.9",12.8,"8.4, 17.3",17.3,"13.6, 20.9"
2009,Mujer,61.1,"53, 69.1",19.6,"13.2, 26.1",8.1,"3.1, 13.2",7.9,"3.3, 12.5",3.2,"0.9, 5.6"
2015,Mujer,65.2,"57.9, 72.6",20,"13.6, 26.3",9.5,"3.9, 15",3.3,"1.2, 5.4",2.1,"0, 4.1"
2016,Mujer,55,"50.8, 59.2",20.5,"17.1, 24",13.2,"10.2, 16.3",6.7,"4.6, 8.8",4.5,"3.1, 5.9"
2023,Mujer,70.8,"62.9, 78.7",14.4,"7.7, 21",6.7,"0.9, 12.5",7,"3.4, 10.6",1.2,"-0.5, 2.8"
2025,Mujer,22.5,"16.9, 28",28.9,"21.7, 36.1",27.2,"18.8, 35.7",7.8,"4.9, 10.7",13.6,"7.5, 19.8"
2009,15-24 años,49.5,"42.2, 56.7",28.1,"21.6, 34.6",8,"4.6, 11.3",10.3,"5.7, 14.9",4.2,"1.8, 6.6"
2015,15-24 años,58.4,"50.5, 66.3",22.2,"15.6, 28.8",11.2,"5.8, 16.6",5.5,"1.9, 9.1",2.8,"0.6, 4.9"
2016,15-24 años,51.6,"46.9, 56.2",25,"21, 29",10.3,"8, 12.7",5.4,"3.7, 7",7.8,"5.8, 9.7"
2023,15-24 años,65.7,"54.8, 76.6",20.1,"10.6, 29.7",5.3,"0.5, 10.1",7.1,"2.7, 11.4",1.7,"-0.3, 3.7"
2025,15-24 años,17.1,"11, 23.3",43.6,"33.4, 53.9",18.6,"12.2, 24.9",11.1,"4.2, 17.9",9.6,"5.3, 13.9"
2009,25-44 años,58.3,"51.9, 64.6",20.4,"15.9, 24.9",10.4,"6.6, 14.3",8.8,"5, 12.5",2.2,"1, 3.4"
2015,25-44 años,59.8,"54.4, 65.3",20,"15.5, 24.5",9.4,"5.7, 13",7.5,"4.4, 10.6",3.3,"1.2, 5.3"
2016,25-44 años,53.7,"50.2, 57.3",19.2,"16.6, 21.9",13.6,"11.1, 16.1",7.3,"5.6, 9",6.2,"4.8, 7.5"
